Mezo_nev,Birtokos,Harvester
A1,0,0
A2,0,0
A3,12,0
A4,0,0
A5,0,0
A6,0,0
A7,12,0
A8,0,0
A9,0,0
B1,0,0
B2,12,0
B3,0,0
B4,0,0
B5,0,0
B6,0,0
B7,12,0
B8,11,0
B9,11,0
B10,0,0
C1,1,0
C2,1,0
C3,12,0
C4,0,0
C5,12,0
C6,12,0
C7,12,0
C8,0,0
C9,0,0
C10,11,0
C11,11,0
D1,0,0
D2,1,0
D3,1,0
D4,12,0
D5,12,0
D6,12,0
D7,12,0
D8,0,0
D9,11,0
D10,11,0
D11,11,0
D12,0,0
E1,0,0
E2,1,0
E3,2,0
E4,1,0
E5,1,0
E6,12,0
E7,12,0
E8,11,0
E9,11,0
E10,9,0
E11,11,0
E12,9,0
E13,0,0
F1,0,0
F2,1,0
F3,2,0
F4,2,0
F5,0,0
F6,12,0
F7,12,0
F8,12,1
F9,12,0
F10,9,0
F11,11,0
F12,11,0
F13,0,0
F14,0,0
G1,2,0
G2,0,0
G3,2,0
G4,2,0
G5,0,0
G6,0,0
G7,0,0
G8,12,1
G9,12,0
G10,11,0
G11,9,0
G12,9,0
G13,9,0
G14,9,0
G15,9,0
H1,0,0
H2,0,0
H3,0,0
H4,0,0
H5,0,0
H6,0,1
H7,0,0
H8,0,0
H9,12,1
H10,7,0
H11,9,0
H12,7,0
H13,9,0
H14,9,0
H15,9,0
H16,0,0
I1,0,0
I2,2,0
I3,0,0
I4,0,0
I5,0,0
I6,2,0
I7,5,0
I8,5,0
I9,7,0
I10,7,0
I11,7,0
I12,7,0
I13,9,0
I14,9,0
I15,9,0
I16,9,0
I17,0,0
J1,0,0
J2,3,0
J3,3,0
J4,3,0
J5,3,1
J6,5,0
J7,5,0
J8,5,1
J9,5,0
J10,7,1
J11,7,0
J12,7,0
J13,9,0
J14,0,0
J15,7,0
J16,0,0
K1,3,0
K2,0,0
K3,3,0
K4,3,0
K5,5,1
K6,5,0
K7,5,0
K8,5,0
K9,0,0
K10,7,1
K11,7,0
K12,7,0
K13,7,0
K14,7,0
K15,7,0
L1,0,0
L2,0,0
L3,3,0
L4,5,0
L5,5,0
L6,5,0
L7,5,1
L8,0,0
L9,7,0
L10,7,1
L11,7,0
L12,7,0
L13,0,0
L14,0,0
M1,0,0
M2,4,0
M3,5,0
M4,5,0
M5,0,0
M6,0,0
M7,0,0
M8,0,0
M9,7,0
M10,7,0
M11,7,0
M12,0,0
M13,0,0
N1,0,0
N2,5,0
N3,5,0
N4,0,0
N5,0,0
N6,5,0
N7,5,0
N8,5,0
N9,5,1
N10,7,0
N11,0,0
N12,0,0
O1,5,0
O2,5,0
O3,0,0
O4,0,0
O5,5,0
O6,5,0
O7,5,0
O8,5,0
O9,7,0
O10,7,0
O11,7,0
P1,0,0
P2,5,0
P3,0,0
P4,0,0
P5,0,0
P6,0,0
P7,5,0
P8,6,0
P9,7,0
P10,0,0
Q1,0,0
Q2,0,0
Q3,5,0
Q4,0,0
Q5,0,0
Q6,0,0
Q7,6,0
Q8,0,0
Q9,0,0
